id_cliente,cpf,nome,data_nascimento,genero,email,telefone
29,679.135.482-82,Agatha Aragão,1951-07-21,F,agatha.aragao@email.com,(081) 9327-1040
30,152.390.487-97,José Pedro Caldeira,1992-08-03,M,jose.caldeira@email.com,+55 (041) 6296 2015
31,894.526.107-94,Gabriel Jesus,1971-05-21,M,gabriel.jesus@email.com,0500 872 0506
32,973.061.428-87,Laís Ribeiro,1950-03-23,F,lais.ribeiro@email.com,(071) 1467-7418
33,652.307.914-70,Francisco Freitas,1960-01-17,M,francisco.freitas@email.com,+55 81 9021-1586
34,068.453.172-08,Heloísa Novaes,1950-01-08,F,heloisa.novaes@email.com,61 0898 9921
35,392.086.547-29,Erick Cavalcante,2001-05-29,M,erick.cavalcante@email.com,0300-451-1686
36,870.654.391-00,Luan da Mota,1954-10-31,M,luan.mota@email.com,+55 (011) 9991-1914
37,467.983.051-48,Manuella Jesus,1972-01-26,F,manuella.jesus@email.com,+55 (011) 9960-6530
38,054.263.978-56,Dr. João Felipe Freitas,1965-02-04,M,dr..freitas@email.com,(031) 5469-1373
39,850.417.239-23,Ryan Teixeira,1953-11-17,M,ryan.teixeira@email.com,51 9023 3030
40,345.698.720-00,Ana Julia Fonseca,1991-01-01,F,ana.fonseca@email.com,+55 (041) 3579 7279
41,241.903.586-06,Luiz Fernando Ferreira,2002-12-22,M,luiz.ferreira@email.com,+55 21 3346-8007
42,034.725.816-62,Emanuella Peixoto,1975-11-19,F,emanuella.peixoto@email.com,+55 61 3748-9691
43,584.290.371-79,Sophia Ribeiro,1963-06-19,F,sophia.ribeiro@email.com,(061) 4443 2830
44,520.938.416-06,Maria Luiza Ribeiro,1971-01-26,F,maria.ribeiro@email.com,+55 (051) 9935 3875
45,824.031.956-42,Kaique Cavalcante,1990-11-26,M,kaique.cavalcante@email.com,(071) 1353 4655
46,170.654.893-10,Laís Martins,1978-09-15,F,lais.martins@email.com,+55 71 6846 0223
47,725.691.048-76,Nicolas Nunes,1987-08-04,M,nicolas.nunes@email.com,+55 (051) 5007-4329
48,126.537.498-82,Rebeca Viana,1944-12-19,F,rebeca.viana@email.com,+55 (051) 8350 5830
49,542.038.769-74,Srta. Isadora Câmara,2000-09-16,F,srta..camara@email.com,+55 (061) 4478 9856
50,532.680.147-71,Srta. Manuela Mendonça,1959-01-08,F,srta..mendonca@email.com,+55 (031) 9821 5064
51,019.756.382-12,Ana Julia Peixoto,1953-01-21,F,ana.peixoto@email.com,81 4723-0461
52,189.205.346-24,Dr. Davi Miguel Leão,1997-08-03,M,dr..leao@email.com,+55 71 8356-4208
53,753.068.421-35,Giovanna Sales,1954-10-19,F,giovanna.sales@email.com,+55 31 8114 3744
54,204.956.378-74,Benicio Brito,1951-02-11,M,benicio.brito@email.com,+55 (061) 0225 5794
55,216.379.548-91,Sr. Marcelo Fernandes,1999-01-30,M,sr..fernandes@email.com,84 2120 2169
56,965.401.387-84,Pedro Lucas Cirino,2005-01-18,M,pedro.cirino@email.com,81 7014 5089
57,581.397.642-64,Dra. Heloisa Rios,1954-10-06,F,dra..rios@email.com,84 9002-8772
58,354.071.986-57,Rebeca Duarte,1950-01-05,F,rebeca.duarte@email.com,(051) 7971-7751
59,690.487.521-67,Antony Caldeira,2005-03-21,M,antony.caldeira@email.com,31 8375-5037
60,571.098.642-94,Olívia Silva,2001-02-13,F,olivia.silva@email.com,(021) 8851 0272
61,438.071.569-84,Dra. Maria Luísa Caldeira,1951-12-25,F,dra..caldeira@email.com,84 0917 7982
62,086.743.129-69,Alana Moura,1994-05-11,F,alana.moura@email.com,+55 81 1699 5866
63,654.318.927-46,Isadora da Mota,2002-01-07,F,isadora.mota@email.com,81 5833-3945
64,851.624.397-46,Srta. Emanuelly Montenegro,1990-07-13,F,srta..montenegro@email.com,61 4608-1062
65,429.581.067-30,Benjamin Costa,1958-07-13,M,benjamin.costa@email.com,71 0571-9838
66,406.372.851-07,Isabela Moraes,1958-06-20,F,isabela.moraes@email.com,0900-735-9893
67,219.854.063-06,Srta. Laís Machado,1973-10-22,F,srta..machado@email.com,+55 84 8422-9405
68,250.684.913-06,Eduardo Aparecida,1949-08-10,M,eduardo.aparecida@email.com,(051) 8328 1826
69,153.982.467-55,Vitor Gabriel Guerra,1959-07-07,M,vitor.guerra@email.com,0900-878-0157
70,561.324.907-52,Isabelly Aparecida,1979-08-25,F,isabelly.aparecida@email.com,31 7704-3581
71,890.571.423-41,Enzo Vargas,2001-07-07,M,enzo.vargas@email.com,+55 51 3861 2075
72,024.796.138-87,Caio Barbosa,1971-01-20,M,caio.barbosa@email.com,(041) 6650-6180
73,901.248.637-87,Dra. Ana Luiza Sá,1985-12-04,F,dra..sa@email.com,+55 31 4766 0728
74,684.512.703-44,Catarina Souza,1953-01-13,F,catarina.souza@email.com,+55 (061) 0996 8814
75,682.195.703-77,Manuella Cunha,1956-12-27,F,manuella.cunha@email.com,0300 087 8141
76,975.218.043-41,Carlos Eduardo Costa,2005-11-25,M,carlos.costa@email.com,+55 (071) 5775-9492
77,620.815.349-24,Maria Clara Dias,1953-10-15,F,maria.dias@email.com,(071) 7775 4781
78,283.950.476-65,Bruno da Mota,1999-12-13,M,bruno.mota@email.com,0800 969 3084
79,256.149.730-52,Ágatha Melo,1971-08-26,F,agatha.melo@email.com,21 8039 2827
80,927.801.356-03,Felipe Nunes,1962-08-21,M,felipe.nunes@email.com,31 3038 5677
81,514.692.837-19,Ana Cecília Rezende,1969-07-04,F,ana.rezende@email.com,0900 184 6386
82,702.315.894-41,Luiz Felipe Mendonça,1959-01-16,M,luiz.mendonca@email.com,+55 (021) 2259-1365
83,793.418.062-40,Sr. Rodrigo Rocha,1953-05-08,M,sr..rocha@email.com,0500 922 8092
84,286.470.953-83,Enzo da Luz,1975-03-21,M,enzo.luz@email.com,0500-772-3692
85,842.567.390-92,Emilly Pinto,1960-04-15,F,emilly.pinto@email.com,41 6210 3886
86,701.839.624-78,Calebe Cavalcanti,1980-03-04,M,calebe.cavalcanti@email.com,84 5086 3765
87,247.610.935-52,Carlos Eduardo Lima,1962-03-11,M,carlos.lima@email.com,+55 (071) 0098-1806
88,512.394.786-82,Sr. Levi Jesus,1983-01-27,M,sr..jesus@email.com,21 9463 6887
89,874.296.350-83,Maria Eduarda Novais,2002-10-31,F,maria.novais@email.com,+55 71 3721 3865
90,601.973.482-03,Ana Júlia Castro,1962-07-21,F,ana.castro@email.com,+55 21 5190-6698
91,278.014.963-96,Benjamin Vasconcelos,1997-12-30,M,benjamin.vasconcelos@email.com,0300-883-9205
92,146.253.870-35,Agatha Castro,1979-11-18,F,agatha.castro@email.com,+55 (021) 1184 8955
93,376.402.195-07,Heloisa Pereira,1982-08-30,F,heloisa.pereira@email.com,+55 11 8451 8489
94,973.628.450-65,Pedro Miguel Garcia,1977-06-12,M,pedro.garcia@email.com,+55 61 4163 3565
95,439.082.675-10,Vitor Gabriel Albuquerque,1977-01-28,M,vitor.albuquerque@email.com,(051) 5394 2373
96,398.614.207-03,Isabella da Luz,1952-10-21,F,isabella.luz@email.com,+55 21 7908 0759
97,472.698.305-92,Sabrina Oliveira,1948-05-01,F,sabrina.oliveira@email.com,51 6780 8562
98,875.906.134-01,Bárbara Sampaio,1966-10-17,F,barbara.sampaio@email.com,21 9428 4347
99,276.139.485-28,Luigi Fonseca,1975-04-27,M,luigi.fonseca@email.com,+55 (061) 9293-1438
100,297.601.345-43,Mateus Costa,2005-06-08,M,mateus.costa@email.com,41 8574-4890
101,203.697.815-03,Carlos Eduardo Sales,1962-04-29,M,carlos.sales@email.com,21 5884 5061
102,982.675.431-55,Fernanda Oliveira,1997-05-15,F,fernanda.oliveira@email.com,(041) 1694-7225
103,125.987.436-28,Nathan Barbosa,1985-11-04,M,nathan.barbosa@email.com,61 4759 8762
104,341.769.082-03,Antônio Cardoso,2004-06-10,M,antonio.cardoso@email.com,(071) 8006-8114
105,643.152.780-17,Eduardo Barros,1953-07-31,M,eduardo.barros@email.com,51 2005 5778
106,289.463.571-00,Yan Macedo,2006-07-02,M,yan.macedo@email.com,(084) 7831 7456
107,092.763.851-77,Daniela da Rosa,1996-01-22,F,daniela.rosa@email.com,(081) 4064-9308
108,869.173.405-10,Esther Jesus,1950-01-14,F,esther.jesus@email.com,(011) 3894-4846
109,241.538.679-00,Bernardo Cirino,1957-06-05,M,bernardo.cirino@email.com,(061) 0208 0214
110,703.816.945-93,Carolina Silva,1973-03-31,F,carolina.silva@email.com,(041) 7570 5120
111,872.193.045-79,Maria Júlia Barbosa,1970-11-01,F,maria.barbosa@email.com,(031) 3037-1837
112,201.936.758-03,Luana Duarte,2003-06-03,F,luana.duarte@email.com,+55 11 1365-0249
113,308.459.167-93,Miguel Vieira,1961-07-29,M,miguel.vieira@email.com,+55 (031) 7195-0052
114,735.492.860-74,Dra. Bianca Cardoso,1946-02-06,F,dra..cardoso@email.com,41 5240 7784
115,925.873.640-00,Rebeca Correia,1949-05-02,F,rebeca.correia@email.com,51 2744 8570
116,953.280.741-14,Dr. Francisco Almeida,1996-10-03,M,dr..almeida@email.com,81 2945-6511
117,290.173.658-03,Bernardo Aparecida,1983-07-04,M,bernardo.aparecida@email.com,51 7899 4053
118,371.950.268-68,Brayan Albuquerque,2000-08-02,M,brayan.albuquerque@email.com,31 0948 0141
119,136.974.520-61,Valentim Brito,1982-08-25,M,valentim.brito@email.com,84 6195-7612
120,852.463.719-64,Yan Guerra,2002-02-20,M,yan.guerra@email.com,31 6659 3983
121,796.058.234-38,Jade Fonseca,1979-11-15,F,jade.fonseca@email.com,+55 84 4043 3504
122,921.038.765-12,Sophia Novais,1969-08-17,F,sophia.novais@email.com,0800 334 4196
123,157.934.026-16,Helena Siqueira,1947-03-11,F,helena.siqueira@email.com,0500 610 5566
124,906.824.713-13,Ian Souza,1966-11-21,M,ian.souza@email.com,21 3206-7998
125,462.170.359-52,Henry Lopes,1981-12-13,M,henry.lopes@email.com,71 4168 6227
126,638.102.795-95,Gael Henrique Mendonça,1952-04-21,M,gael.mendonca@email.com,81 6553 5590
127,972.301.486-69,Eloá Ferreira,1955-04-07,F,eloa.ferreira@email.com,+55 21 1039 2405
128,705.194.683-84,Srta. Lorena Machado,1981-12-29,F,srta..machado@email.com,(081) 9206-9804
129,340.957.812-97,Bento da Paz,1989-10-06,M,bento.paz@email.com,21 1046 3681
130,812.943.057-60,Raquel Peixoto,2007-05-30,F,raquel.peixoto@email.com,51 4576 2055
131,840.523.761-53,Kevin da Costa,1959-12-31,M,kevin.costa@email.com,+55 (021) 5621-6893
132,264.793.105-43,Isaque Oliveira,1984-03-09,M,isaque.oliveira@email.com,71 3248-2629
133,891.726.045-49,Liam Azevedo,1972-08-19,M,liam.azevedo@email.com,(031) 7423 1220
134,938.150.246-33,Juliana Pereira,1953-10-09,F,juliana.pereira@email.com,21 9752-6772
135,069.231.478-40,Evelyn Câmara,1956-09-12,F,evelyn.camara@email.com,(031) 9757-3660
136,560.473.892-10,Mateus Silveira,1979-12-12,M,mateus.silveira@email.com,61 6086-8034
137,472.389.056-47,Miguel da Rosa,1976-03-12,M,miguel.rosa@email.com,(041) 1812-9826
138,027.451.396-06,Luna Machado,1966-09-13,F,luna.machado@email.com,+55 (031) 1117-5186
139,860.912.574-20,Dra. Eduarda Garcia,1956-10-26,F,dra..garcia@email.com,+55 (071) 6447 4212
140,407.369.821-40,Alexandre Pinto,1960-11-01,M,alexandre.pinto@email.com,+55 11 9776-7199
141,483.015.629-51,Isabelly Novaes,1947-02-23,F,isabelly.novaes@email.com,+55 (011) 0994-5101
142,482.359.706-00,Emanuelly Castro,1996-12-11,F,emanuelly.castro@email.com,(031) 5561 6814
143,456.918.032-98,Davi Luiz Campos,1977-07-24,M,davi.campos@email.com,0500-469-5489
144,978.314.526-64,Maria Cardoso,1957-10-26,F,maria.cardoso@email.com,+55 (011) 1071 3966
145,830.512.476-26,Lucas Gabriel Ferreira,1965-01-30,M,lucas.ferreira@email.com,21 8501-5569
146,358.796.024-00,Ana Cavalcanti,1977-05-31,F,ana.cavalcanti@email.com,+55 (021) 7857-6084
147,803.452.697-56,Levi Novais,1963-09-25,M,levi.novais@email.com,+55 (041) 5682 9962
148,450.237.891-79,Bruna Viana,1975-05-27,F,bruna.viana@email.com,(031) 3842 1503
149,072.183.569-40,Pedro Miguel Montenegro,1997-01-04,M,pedro.montenegro@email.com,+55 41 8230 7681
150,915.307.248-05,Luana Aparecida,1988-02-14,F,luana.aparecida@email.com,+55 (084) 5334-4857
151,241.085.637-35,Srta. Júlia Cassiano,1982-01-12,F,srta..cassiano@email.com,(051) 4249 3214
152,702.836.415-17,Maitê Nogueira,1950-07-05,F,maite.nogueira@email.com,(011) 6299-7954
153,817.490.365-84,Gael Henrique Silva,1965-10-08,M,gael.silva@email.com,(061) 7332-9456
154,578.063.912-40,Lucas Viana,1976-01-14,M,lucas.viana@email.com,+55 (041) 4599-2816
155,147.386.920-03,Sr. Luan Novais,1981-12-08,M,sr..novais@email.com,+55 (031) 7615-3966
156,321.564.907-16,Manuela Nogueira,1966-10-16,F,manuela.nogueira@email.com,84 1724-6191
157,013.684.972-50,Dr. Luan Monteiro,1975-06-22,M,dr..monteiro@email.com,61 4699-7335
158,510.463.897-93,Kevin Lopes,1969-10-10,M,kevin.lopes@email.com,81 0085-1403
159,568.374.120-35,Matteo Pires,1976-12-17,M,matteo.pires@email.com,+55 84 3865 6242
160,027.531.964-43,Alexia Barbosa,2003-03-08,F,alexia.barbosa@email.com,(051) 9692-7868
161,326.407.985-29,Matheus Fogaça,1993-02-09,M,matheus.fogaca@email.com,21 4689-5009
162,971.854.260-49,Léo Camargo,1980-04-06,M,leo.camargo@email.com,0800-137-1894
163,807.346.215-07,Benjamim Fernandes,1998-12-19,M,benjamim.fernandes@email.com,(021) 4209 4940
164,049.237.168-78,Sra. Eloá Oliveira,2002-08-03,F,sra..oliveira@email.com,+55 84 4294-4401
165,275.619.830-77,Erick Pastor,1999-01-17,M,erick.pastor@email.com,51 0512 9276
166,723.458.061-17,Isaac Ribeiro,1996-01-22,M,isaac.ribeiro@email.com,+55 61 0276 7478
167,674.183.092-87,Mateus Rodrigues,1970-08-23,M,mateus.rodrigues@email.com,(051) 8018 5694
168,146.359.827-00,Júlia da Mata,1990-10-07,F,julia.mata@email.com,+55 (061) 5800-1061
169,753.826.104-44,Cauã Rodrigues,1986-10-19,M,caua.rodrigues@email.com,+55 31 0939 1119
170,921.578.460-85,Maria Flor Ribeiro,1988-02-12,F,maria.ribeiro@email.com,(051) 4654-2140
171,048.139.576-84,Mathias Farias,1956-10-16,M,mathias.farias@email.com,(084) 1286-3917
172,194.630.572-34,Dr. Cauã Andrade,1947-03-23,M,dr..andrade@email.com,51 4256 9087
173,183.075.629-02,Pedro Henrique Guerra,1967-05-04,M,pedro.guerra@email.com,(031) 6015 8517
174,806.512.397-02,Gabriela Cavalcanti,1977-10-03,F,gabriela.cavalcanti@email.com,+55 21 7320 3093
175,847.930.615-75,Maria Julia Azevedo,1967-08-19,F,maria.azevedo@email.com,+55 (061) 6138 7829
176,270.348.195-05,Ana Sophia Andrade,1945-08-17,F,ana.andrade@email.com,+55 (051) 0417-9291
177,931.678.245-73,Danilo Monteiro,1966-09-17,M,danilo.monteiro@email.com,+55 71 9825 3092
178,426.158.730-08,Benício Campos,2007-08-22,M,benicio.campos@email.com,0800 021 9620
179,021.564.873-08,Bruno Abreu,1991-10-06,M,bruno.abreu@email.com,+55 81 3248 7632
180,271.596.304-16,Ana Carolina Peixoto,1957-09-15,F,ana.peixoto@email.com,+55 71 8195 8837
181,312.596.807-03,Sr. João Guilherme Aragão,1948-04-28,M,sr..aragao@email.com,21 4364 5970
182,290.347.561-06,Ana Júlia Nascimento,1984-12-24,F,ana.nascimento@email.com,0800 563 5315
183,639.108.457-20,Beatriz da Costa,1954-07-06,F,beatriz.costa@email.com,+55 11 9726-5273
184,520.947.863-74,Sra. Júlia Costa,2002-08-08,F,sra..costa@email.com,(061) 7625-3492
185,831.946.725-09,Dra. Eloá Oliveira,2001-08-09,F,dra..oliveira@email.com,(061) 4063-3569
186,069.734.812-13,Clarice Oliveira,1977-04-06,F,clarice.oliveira@email.com,+55 41 7731 8063
187,310.952.846-06,Luiz Henrique da Rocha,2003-01-11,M,luiz.rocha@email.com,0500 907 7262
188,016.524.987-02,Nicole Santos,1995-11-19,F,nicole.santos@email.com,+55 81 9893-1950
189,165.340.297-07,Maria Clara Aragão,1988-10-03,F,maria.aragao@email.com,84 1832-5381
190,358.249.607-47,Sra. Giovanna Sá,1970-01-07,F,sra..sa@email.com,(084) 7788 1788
191,513.709.648-20,Rael Pinto,1949-11-19,M,rael.pinto@email.com,+55 51 2412 7238
192,827.935.014-41,Sr. Juan Leão,1948-12-06,M,sr..leao@email.com,+55 (031) 3856 9557
193,794.812.530-23,Vinícius Novaes,1977-08-07,M,vinicius.novaes@email.com,31 4025 4729
194,298.160.453-89,Zoe da Paz,1974-08-26,F,zoe.paz@email.com,+55 71 5238-0552
195,284.063.751-08,Pietro Nogueira,1966-06-10,M,pietro.nogueira@email.com,+55 (021) 0885-4749
196,170.954.863-01,Sr. Pedro Miguel Fernandes,1971-12-24,M,sr..fernandes@email.com,0900-375-1509
197,430.798.621-04,Sr. Vinicius Câmara,1957-11-18,M,sr..camara@email.com,(084) 5998-0562
198,504.269.378-56,Sra. Maria Eduarda Gomes,1959-04-30,F,sra..gomes@email.com,(031) 6742-6629
199,347.682.051-35,Aurora Casa Grande,1950-09-01,F,aurora.grande@email.com,+55 (011) 6462 8792
200,487.029.513-04,Francisco Garcia,1959-12-05,M,francisco.garcia@email.com,+55 (041) 0244 7146
201,301.629.857-03,Samuel Sales,1984-03-10,M,samuel.sales@email.com,(081) 9647-1589
202,902.731.685-68,José Pedro Castro,1963-03-16,M,jose.castro@email.com,21 6504 4818
203,125.687.439-64,Fernando Teixeira,1951-03-03,M,fernando.teixeira@email.com,61 9520-2845
204,213.846.590-05,Maria Sophia Fernandes,1973-01-18,F,maria.fernandes@email.com,(051) 1120-7545
205,852.970.436-38,Melina Peixoto,2002-12-15,F,melina.peixoto@email.com,+55 (011) 3423-2161
206,760.195.483-84,Allana Vasconcelos,2006-06-22,F,allana.vasconcelos@email.com,+55 61 0140-1193
207,501.792.468-01,Gabriela Cirino,2002-11-03,F,gabriela.cirino@email.com,21 9389-1190
208,342.680.591-05,Henrique Silva,1969-08-02,M,henrique.silva@email.com,0900 271 2566
209,615.039.872-21,Théo da Conceição,1992-08-09,M,theo.conceicao@email.com,(011) 8015 7164
210,736.281.049-04,Luana Rodrigues,1956-11-06,F,luana.rodrigues@email.com,+55 (021) 7167 8112
211,912.078.564-01,Maria Liz Sales,1953-01-01,F,maria.sales@email.com,+55 31 6749-9465
212,842.630.917-87,Nathan Mendonça,1978-06-27,M,nathan.mendonca@email.com,+55 31 2010-1702
213,418.593.607-93,Luan Cassiano,1989-09-14,M,luan.cassiano@email.com,11 7848-5880
214,675.938.402-47,Pedro Campos,1956-09-07,M,pedro.campos@email.com,84 4276-2467
215,897.341.052-05,Rebeca Ribeiro,1978-04-24,F,rebeca.ribeiro@email.com,0900 695 4500
216,590.682.371-95,Augusto Cardoso,1968-02-19,M,augusto.cardoso@email.com,11 6503 3349
217,152.047.698-11,Ana Luiza das Neves,1983-04-21,F,ana.neves@email.com,31 6407-9056
218,917.058.243-23,Mathias Duarte,1955-12-27,M,mathias.duarte@email.com,0800-456-3718
219,046.718.923-40,João Pedro da Luz,1984-12-03,M,joao.luz@email.com,(081) 4198 7635
220,465.137.298-82,Kevin Montenegro,1990-05-07,M,kevin.montenegro@email.com,81 2082-9737
221,603.271.485-35,Yasmin Pimenta,2002-02-02,F,yasmin.pimenta@email.com,(021) 6513-6442
222,312.806.749-03,Isabela Guerra,1982-09-29,F,isabela.guerra@email.com,(021) 6032-4204
223,079.862.451-58,Yan Cavalcanti,2005-09-03,M,yan.cavalcanti@email.com,21 1623 1981
224,713.402.698-13,Vinicius da Cunha,1999-06-27,M,vinicius.cunha@email.com,+55 41 6321-2347
225,075.892.316-30,José Miguel Pastor,1963-07-20,M,jose.pastor@email.com,+55 (011) 5754-0900
226,864.592.073-56,Dra. Isabella da Cunha,2003-01-04,F,dra..cunha@email.com,(031) 6064-4134
227,560.273.481-35,Enrico Macedo,2001-11-21,M,enrico.macedo@email.com,(071) 6124 8156
228,092.531.846-98,Lunna Marques,1987-05-28,F,lunna.marques@email.com,(041) 5911 2382
229,578.691.204-30,Noah Vieira,1999-01-21,M,noah.vieira@email.com,(011) 3165 2669
230,831.972.506-21,Alícia Almeida,1986-09-14,F,alicia.almeida@email.com,(011) 9421-5291
231,791.856.432-46,Vinicius Lopes,1995-06-11,M,vinicius.lopes@email.com,11 6263-9343
232,204.917.385-79,Fernando Jesus,1984-04-25,M,fernando.jesus@email.com,(051) 1072-5636
233,180.729.346-78,Dr. José Miguel Barbosa,1945-01-05,M,dr..barbosa@email.com,+55 61 8964-6528
234,287.931.046-69,Felipe da Luz,1954-04-19,M,felipe.luz@email.com,+55 71 1502-7456
235,485.312.607-44,João Pimenta,1948-04-08,M,joao.pimenta@email.com,+55 (071) 2032-0742
236,709.254.316-99,Sra. Maya Camargo,1952-04-20,F,sra..camargo@email.com,+55 (011) 1513-4228
237,082.391.675-86,Heitor Pacheco,2005-01-12,M,heitor.pacheco@email.com,(071) 0416 5915
238,798.524.013-60,Ana Barros,1989-04-20,F,ana.barros@email.com,0900-759-2304
239,186.032.975-68,Benjamin Souza,1950-09-19,M,benjamin.souza@email.com,+55 (031) 3266 4214
240,425.708.139-23,Pedro Sousa,2004-11-25,M,pedro.sousa@email.com,51 7499 6165
241,610.423.857-26,Francisco Lopes,1978-05-10,M,francisco.lopes@email.com,51 8147 6174
242,436.290.587-10,Davi Lucas Rodrigues,1979-05-26,M,davi.rodrigues@email.com,(011) 6179-4549
243,172.693.045-99,Theodoro Almeida,2004-04-23,M,theodoro.almeida@email.com,(031) 5977 9452
244,941.380.576-84,Ester Barros,1945-07-21,F,ester.barros@email.com,+55 (041) 7769-7499
245,128.096.473-13,Miguel da Rosa,2003-02-07,M,miguel.rosa@email.com,+55 (041) 3723 6831
246,760.915.342-70,Ravi Casa Grande,1945-12-25,M,ravi.grande@email.com,(041) 9334-9605
247,697.548.201-20,Cauã Pires,1971-11-06,M,caua.pires@email.com,(084) 8997-3080
248,146.307.298-87,Luara Novaes,1946-01-24,F,luara.novaes@email.com,+55 (031) 4375-7383
249,724.563.981-73,Maitê Pereira,1998-10-25,F,maite.pereira@email.com,(071) 2934-1722
250,716.328.450-08,Eduarda Pereira,1945-11-18,F,eduarda.pereira@email.com,11 4522 8015
251,319.725.408-23,Bruna Pinto,2005-08-23,F,bruna.pinto@email.com,+55 (021) 8910-7711
252,081.759.634-84,Bella Novais,1994-03-19,F,bella.novais@email.com,(021) 7871 2552
253,603.972.458-74,Guilherme Macedo,1950-06-13,M,guilherme.macedo@email.com,+55 81 5653-2863
254,675.031.928-95,Paulo Jesus,1950-06-02,M,paulo.jesus@email.com,(081) 5626 0602
255,846.359.271-64,Ana Laura Pires,2006-07-10,F,ana.pires@email.com,(084) 0489 2673
256,563.209.814-15,Pedro Miguel Sampaio,1980-01-25,M,pedro.sampaio@email.com,71 4318-8485
257,843.627.059-29,Sr. Antônio Alves,2001-12-01,M,sr..alves@email.com,31 4851 0174
258,538.269.147-91,André Marques,1980-01-05,M,andre.marques@email.com,+55 51 1589 3571
259,190.386.547-66,Mariana Jesus,1969-10-11,F,mariana.jesus@email.com,51 6988 6497
260,762.148.395-46,Dr. Pedro Lucas Sales,1953-06-14,M,dr..sales@email.com,31 8137-7028
261,618.249.053-51,Dante Pereira,1952-08-29,M,dante.pereira@email.com,31 4544 7022
262,493.157.086-01,Mariah Aragão,1949-03-31,F,mariah.aragao@email.com,+55 (061) 6794 9756
263,287.635.194-37,Davi Lucca Teixeira,1950-09-22,M,davi.teixeira@email.com,0900-966-3658
264,412.509.736-43,Melina Sousa,1988-06-19,F,melina.sousa@email.com,84 1398-9098
265,012.978.453-23,Olívia Montenegro,1950-05-29,F,olivia.montenegro@email.com,61 9569-0705
266,085.329.467-47,Emilly Leão,1964-01-25,F,emilly.leao@email.com,+55 (011) 2412-4620
267,094.382.167-31,Lunna Cirino,1962-03-14,F,lunna.cirino@email.com,41 1033 9937
268,140.238.579-04,Thiago Gomes,1946-08-13,M,thiago.gomes@email.com,81 3048 9138
269,671.954.803-48,Srta. Liz Nunes,1981-06-04,F,srta..nunes@email.com,+55 (041) 3868-7007
270,208.394.561-15,Lavínia Rezende,1968-07-24,F,lavinia.rezende@email.com,+55 11 9840-2891
271,124.397.865-19,Aurora Gonçalves,1987-11-15,F,aurora.goncalves@email.com,+55 71 7435-5379
