id_transacao,data_transacao,valor,operacao,banco_origem,cpf_origem,codigo_agencia_origem,id_conta_origem,conta_completa,id_conta,id_conta,descricao,created_at
01060237243548024637073740,2024-01-02 06:37:35,96404.1,transferencia,1,20888565879,2084,16638-7,2084-16638-7,60594089,680,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01210239240017438160512839,2024-01-02 21:39:00,55436.0,transferencia,1,31155133137,3471,57599-0,3471-57599-0,54098683,214,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01230246245413731848612504,2024-01-02 23:46:54,34303.42,transferencia,1,82647834229,3731,13627-9,3731-13627-9,86851987,169,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01160253245269952851453732,2024-01-02 16:53:52,44727.82,transferencia,1,87800567680,5996,32514-5,5996-32514-5,70147892,247,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01160214240597896268222450,2024-01-02 16:14:05,30620.0,transferencia,1,7052222256,9879,99893-1,9879-99893-1,28363062,428,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01060243244673285445899903,2024-01-02 06:43:46,56587.82,transferencia,1,61379294690,8237,34610-7,8237-34610-7,24283027,112,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01150252240927947285937265,2024-01-02 15:52:09,70745.82,transferencia,1,80072994169,4972,64068-4,4972-64068-4,60231698,994,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01030205240873139036194464,2024-01-02 03:05:08,23439.2,transferencia,1,42517326266,3137,41272-8,3137-41272-8,54995300,420,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01060259245735370496063591,2024-01-02 06:59:57,83084.42,transferencia,1,13382661101,7353,86846-9,7353-86846-9,39578165,444,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01040220243502154242291880,2024-01-02 04:20:35,34061.47,transferencia,1,89908978748,5120,64430-3,5120-64430-3,54910445,83,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01230358241254164830822173,2024-01-03 23:58:12,77221.92,transferencia,1,11479943665,6145,96499-4,6145-96499-4,53867043,541,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01230330241357576003796624,2024-01-03 23:30:13,70977.64,transferencia,1,62939179441,7575,91809-9,7575-91809-9,82591844,844,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01220335242519619337053549,2024-01-03 22:35:25,73520.22,transferencia,1,91546465294,1691,20183-5,1691-20183-5,15506452,842,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01000333245757576903686794,2024-01-03 00:33:57,14848.84,transferencia,1,40683801473,7575,81342-0,7575-81342-0,78194047,496,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01080308243975218312675838,2024-01-03 08:08:39,85433.7,transferencia,1,12587936101,1257,14889-2,1257-14889-2,56024631,853,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01150347244453555380087535,2024-01-03 15:47:44,71307.06,transferencia,1,18655394491,5535,27900-3,5535-27900-3,40746598,252,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01020340244748253559649851,2024-01-03 02:40:47,7536.9,transferencia,1,45402562385,5284,23160-0,5284-23160-0,80624331,740,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01050310241705478429331522,2024-01-03 05:10:17,11057.38,transferencia,1,66037300577,7450,43180-9,7450-43180-9,57628477,643,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01110342241292594561396749,2024-01-03 11:42:12,85369.71,transferencia,1,3307306812,9529,53973-8,9529-53973-8,37343329,829,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01040335243183813204979190,2024-01-03 04:35:31,48198.19,transferencia,1,7214655365,1838,14121-8,1838-14121-8,53035439,313,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01000319244152132038678787,2024-01-03 00:19:41,87125.37,transferencia,1,97927410113,3125,50196-4,3125-50196-4,20727789,868,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01220345245126132665447692,2024-01-03 22:45:51,7737.78,transferencia,1,77990472597,3162,33511-8,3162-33511-8,67448896,1075,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01200349241888139843835840,2024-01-03 20:49:18,14405.86,transferencia,1,39638569395,3188,42630-4,3188-42630-4,72751972,1141,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01110350240590683394028878,2024-01-03 11:50:05,99228.48,transferencia,1,82082428702,8609,86019-8,8609-86019-8,58769147,864,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01020324244446767048532896,2024-01-03 02:24:44,6715.06,transferencia,1,90762974524,6764,72303-0,6764-72303-0,78906283,1126,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01190301240092591650666797,2024-01-03 19:01:00,60389.18,transferencia,1,7883301012,9529,69026-3,9529-69026-3,24698972,1217,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01110454245437341185063137,2024-01-04 11:54:54,46152.46,transferencia,1,83981340973,4373,38439-0,4373-38439-0,73064663,396,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01110454242804770372087898,2024-01-04 11:54:28,59715.4,transferencia,1,89832242665,7740,24802-8,7740-24802-8,76359158,409,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01090404244499728845085920,2024-01-04 09:04:44,79740.7,transferencia,1,40846045001,2799,40921-3,2799-40921-3,30018938,468,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01020432245642929527719867,2024-01-04 02:32:56,98065.07,transferencia,1,76872629720,2924,56405-7,2924-56405-7,69539153,154,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01150431242475742866478667,2024-01-04 15:31:24,37707.35,transferencia,1,92937943306,4757,11091-4,4757-11091-4,14220539,582,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01140442241937346237783389,2024-01-04 14:42:19,90039.2,transferencia,1,20226469409,4373,90405-6,4373-90405-6,50955675,321,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01040427242527755024852980,2024-01-04 04:27:25,84560.31,transferencia,1,70767421361,5772,97322-8,5772-97322-8,69583471,775,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01130419243827755486515390,2024-01-04 13:19:38,48266.66,transferencia,1,52957321343,5772,53259-1,5772-53259-1,37681981,538,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01080415242579956560019922,2024-01-04 08:15:25,98400.14,transferencia,1,87544868079,5997,39516-1,5997-39516-1,47512892,199,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01180438242767794682465729,2024-01-04 18:38:27,84585.87,transferencia,1,75445526240,9776,70573-5,9776-70573-5,61588906,882,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01000437242801429851715938,2024-01-04 00:37:28,79003.77,transferencia,1,34105757903,2410,80287-5,2410-80287-5,29269124,367,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01210439245248251372571591,2024-01-04 21:39:52,87146.57,transferencia,1,34278255071,5284,28444-9,5284-28444-9,83096187,794,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01050425240727049708276394,2024-01-04 05:25:07,68442.65,transferencia,1,95250634532,4072,85535-5,4072-85535-5,88558599,663,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01210434245602159499518663,2024-01-04 21:34:56,41192.38,transferencia,1,15442624349,5120,39975-0,5120-39975-0,44141277,290,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01230420243204869095389926,2024-01-04 23:20:32,12276.42,transferencia,1,93978693291,6840,99740-0,6840-99740-0,68588535,1102,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01100417244414771547868984,2024-01-04 10:17:44,22489.42,transferencia,1,61617739456,7741,61038-7,7741-61038-7,90572667,828,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01230443240418270727393822,2024-01-04 23:43:04,86042.39,transferencia,1,11302948970,7281,60694-7,7281-60694-7,88935070,181,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01230420243614824359568584,2024-01-04 23:20:36,64755.08,transferencia,1,57681063838,2841,38874-1,2841-38874-1,61452687,31,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01180541245410815585041052,2024-01-05 18:41:54,52321.98,transferencia,1,38219942312,1801,39278-3,1801-39278-3,21694111,464,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01040547243248257977264989,2024-01-05 04:47:32,245.48,transferencia,1,61351010646,5284,64846-8,5284-64846-8,88319351,978,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01210543240551525751086296,2024-01-05 21:43:05,49185.13,transferencia,1,38552593645,2515,98114-7,2515-98114-7,75320544,48,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01140542244219032388156183,2024-01-05 14:42:42,94812.07,transferencia,1,70831042710,3091,20005-0,3091-20005-0,64014743,106,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01190512244045679624198834,2024-01-05 19:12:40,54061.91,transferencia,1,94219948333,7654,25785-3,7654-25785-3,65588616,1054,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01180531240574881205483277,2024-01-05 18:31:05,65140.72,transferencia,1,93068336015,8847,95025-5,8847-95025-5,57511543,376,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01100510241664943209447452,2024-01-05 10:10:16,18723.46,transferencia,1,77826257506,4946,51136-3,4946-51136-3,34515063,723,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01160504242496083663882867,2024-01-05 16:04:24,5076.21,transferencia,1,33181595497,8069,82916-6,8069-82916-6,57334398,330,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01040501245440679306053848,2024-01-05 04:01:54,54933.34,transferencia,1,62850538558,7604,34127-4,7604-34127-4,49928545,702,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01080533243018955740439378,2024-01-05 08:33:30,69613.53,transferencia,1,55411598907,5981,54970-1,5981-54970-1,76930209,11,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01010553245188138756768990,2024-01-05 01:53:51,40563.88,transferencia,1,57780853209,3188,11329-4,3188-11329-4,66718726,513,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01060542245019861401553112,2024-01-05 06:42:50,28559.82,transferencia,1,69287666466,6891,49668-1,6891-49668-1,31481965,242,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01090514245432143958247286,2024-01-05 09:14:54,77488.33,transferencia,1,90221290044,4123,36343-0,4123-36343-0,22601623,963,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01100539244257790385061001,2024-01-05 10:39:42,27637.11,transferencia,1,82565748795,9775,99176-5,9775-99176-5,10767842,1171,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01110536240503462064858446,2024-01-05 11:36:05,24095.01,transferencia,1,43846552070,6430,37819-3,6430-37819-3,68364452,186,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01100500243625723489157457,2024-01-05 10:00:36,86760.75,transferencia,1,90385715340,2752,60232-1,2752-60232-1,35918591,1119,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01070532245124932984348910,2024-01-05 07:32:51,62200.46,transferencia,1,45183394016,3942,44625-4,3942-44625-4,87538991,89,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01170536242018270223649477,2024-01-05 17:36:20,66677.83,transferencia,1,13782138155,7281,83129-8,7281-83129-8,89365865,81,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01170557243908133393968589,2024-01-05 17:57:39,14979.51,transferencia,1,95701920895,3180,83026-4,3180-83026-4,38694966,976,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01080505242380228500074432,2024-01-05 08:05:23,93821.78,transferencia,1,41735068489,2208,36730-7,2208-36730-7,34637932,327,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01230517243050411215697513,2024-01-05 23:17:30,84324.76,transferencia,1,81917782110,1405,62047-1,1405-62047-1,32270634,304,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01220520242201424971755617,2024-01-05 22:20:22,60152.47,transferencia,1,42976645779,2410,33290-1,2410-33290-1,86150979,1147,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01040519244808851012964669,2024-01-05 04:19:48,68134.54,transferencia,1,41364460041,5880,48195-8,5880-48195-8,73140855,779,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01220654242548259854584859,2024-01-06 22:54:25,40222.62,transferencia,1,18689184597,5284,72824-0,5284-72824-0,73695246,521,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01060616241931266347875492,2024-01-06 06:16:19,9889.33,transferencia,1,85647015964,6213,64568-8,6213-64568-8,66543141,613,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01220639241840672089084062,2024-01-06 22:39:18,20306.46,transferencia,1,8903203909,7604,13743-8,7604-13743-8,53137197,713,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01190619245501275669685484,2024-01-06 19:19:55,27637.82,transferencia,1,9078903007,7210,92018-3,7210-92018-3,10796939,887,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01180653240810213618682053,2024-01-06 18:53:08,61244.07,transferencia,1,71318860253,1201,93134-5,1201-93134-5,30664729,209,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01030646240661139441744721,2024-01-06 03:46:06,25790.75,transferencia,1,34076765575,3116,79175-1,3116-79175-1,18206894,41,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01180624244522711991789487,2024-01-06 18:24:45,90212.62,transferencia,1,41361575174,1722,75079-5,1722-75079-5,64016050,699,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01220608243961136007057910,2024-01-06 22:08:39,96815.26,transferencia,1,32430184044,3116,41977-8,3116-41977-8,67344434,1097,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01070615240375743314972016,2024-01-06 07:15:03,8367.34,transferencia,1,10063560534,4757,36601-3,4757-36601-3,34676025,597,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01020653245695997146162142,2024-01-06 02:53:56,21248.76,transferencia,1,85479471244,9959,79940-4,9959-79940-4,22605827,1025,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01080639242199720141859667,2024-01-06 08:39:21,86829.77,transferencia,1,30580714004,2799,24097-3,2799-24097-3,77274241,645,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01030633241513738046921747,2024-01-06 03:33:15,78289.3,transferencia,1,5774514480,3731,63413-7,3731-63413-7,91154743,1033,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01050607241526133952233798,2024-01-06 05:07:15,48139.23,transferencia,1,3251869876,3162,63466-8,3162-63466-8,91504812,552,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01200606244748025361153380,2024-01-06 20:06:47,33566.77,transferencia,1,19844763355,2084,37991-5,2084-37991-5,62794229,1046,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01030651245647611509375468,2024-01-06 03:51:56,3884.41,transferencia,1,32134225173,1674,45389-6,1674-45389-6,70147892,247,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01190614242809083728351463,2024-01-06 19:14:28,52673.71,transferencia,1,56422363427,8090,41603-8,8090-41603-8,42466665,1005,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01170632240226833918858958,2024-01-06 17:32:02,45388.67,transferencia,1,21680424629,3862,91017-7,3862-91017-7,79302000,594,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01220614242101424662054621,2024-01-06 22:14:21,73117.64,transferencia,1,23518011219,2410,30479-5,2410-30479-5,67765028,918,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01010635244000959893678248,2024-01-06 01:35:40,77671.73,transferencia,1,94211417509,5900,29335-7,5900-29335-7,33504891,1182,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01150645243303456650527342,2024-01-06 15:45:33,8864.8,transferencia,1,42302093399,5430,79892-5,5430-79892-5,57334398,330,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01120623245274887680012376,2024-01-06 12:23:52,68175.77,transferencia,1,20718464869,8847,75475-2,8847-75475-2,31206894,166,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01010738244099122100667367,2024-01-07 01:38:40,34477.54,transferencia,1,9178663393,2199,46740-6,2199-46740-6,53035439,313,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01160759241789196871116335,2024-01-07 16:59:17,76674.63,transferencia,1,21345584156,9198,62156-6,9198-62156-6,88044498,665,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01220716244988136890159744,2024-01-07 22:16:49,10239.19,transferencia,1,19732815620,3188,17546-5,3188-17546-5,89862482,194,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01100701240172627356584475,2024-01-07 10:01:01,8870.07,transferencia,1,88342989429,2627,61390-4,2627-61390-4,71242137,611,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01140748240719155520125350,2024-01-07 14:48:07,97286.29,transferencia,1,28463611265,5191,52877-5,5191-52877-5,19322956,404,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01150745244225725897354637,2024-01-07 15:45:42,10029.3,transferencia,1,39699081759,2752,56803-2,2752-56803-2,71584195,148,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01210737240901275804154707,2024-01-07 21:37:09,76760.23,transferencia,1,54901830120,7210,88862-0,7210-88862-0,75035598,620,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01140758244946762377182586,2024-01-07 14:58:49,2556.97,transferencia,1,99177199707,6764,64059-5,6764-64059-5,81483072,1249,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01110736241661134223774134,2024-01-07 11:36:16,81456.67,transferencia,1,17428246334,3116,39201-3,3116-39201-3,72889571,36,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01160750244764044555482632,2024-01-07 16:50:47,22990.68,transferencia,1,79977934452,4046,67841-4,4046-67841-4,38548302,1008,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01200708242872156736669941,2024-01-07 20:08:28,11360.17,transferencia,1,57887401852,5127,61619-9,5127-61619-9,18525970,869,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01160850241833716190916108,2024-01-08 16:50:18,29303.24,transferencia,1,62967776807,1733,96621-0,1733-96621-0,12653862,408,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01030852242706086119069488,2024-01-08 03:52:27,34309.45,transferencia,1,19008761408,8060,74387-9,8060-74387-9,27913889,609,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01070821244610811002645307,2024-01-08 07:21:46,45792.81,transferencia,1,18252102174,1801,77643-0,1801-77643-0,99627886,258,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01140819240108853778372140,2024-01-08 14:19:01,31377.6,transferencia,1,32061967108,5880,94339-3,5880-94339-3,40265112,777,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01060850241619862688054315,2024-01-08 06:50:16,81124.09,transferencia,1,50634070800,6891,63104-2,6891-63104-2,47914435,827,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01210847241470331414288426,2024-01-08 21:47:14,56150.54,transferencia,1,33729473719,3307,19511-5,3307-19511-5,69637099,232,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01230837244509087522797496,2024-01-08 23:37:45,32351.86,transferencia,1,55910043935,8090,89728-5,8090-89728-5,23809073,261,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01230856240569952851451974,2024-01-08 23:56:05,91820.04,transferencia,1,41248342330,5996,23709-4,5996-23709-4,22934433,1246,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01210831244037128430656856,2024-01-08 21:31:40,13807.14,transferencia,1,85259102606,2173,55274-0,2173-55274-0,55769312,1123,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01070810241010188882926419,2024-01-08 07:10:10,57177.96,transferencia,1,42657839029,8101,72425-5,8101-72425-5,41435163,23,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01130926241013731766887189,2024-01-09 13:26:10,95772.25,transferencia,1,38442766880,3731,89221-1,3731-89221-1,80238223,80,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01010924242021655953016832,2024-01-09 01:24:20,93938.36,transferencia,1,67962713437,5612,14823-5,5612-14823-5,63538936,704,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01020955242414779273217493,2024-01-09 02:55:24,69853.47,transferencia,1,38534635846,7741,82664-0,7741-82664-0,38475735,1199,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01010949243888138450635047,2024-01-09 01:49:38,97011.63,transferencia,1,88021111380,3188,61785-0,3188-61785-0,12207060,884,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01060953245831269033439285,2024-01-09 06:53:58,62555.44,transferencia,1,28437390710,6213,38894-4,6213-38894-4,27632666,460,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01020941240708851942478604,2024-01-09 02:41:07,20328.33,transferencia,1,31751088499,5880,71343-7,5880-71343-7,78230475,1082,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01100900241722065566565315,2024-01-09 10:00:17,70251.81,transferencia,1,12720565466,6022,27454-4,6022-27454-4,74132712,314,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
01050936242909041283716189,2024-01-09 05:36:29,92338.29,transferencia,1,90284150339,4090,18141-4,4090-18141-4,22809228,795,Transferências recebidas (entrada) - mov_transferencias_recebidas.csv,2025-08-25 18:24:27.839820
